정류장번호,정류장명
DGB3600088100,대조1리(하양방향)
DGB3600088200,유곡지종점
DGB3600088300,유곡지(내동방향)
DGB3600088600,당리리회관
DGB3600090100,영대교(영대방향)
DGB3600090200,하양역 건너(산업도로)
DGB3600090400,효령
DGB3600090700,정평역2번출구
DGB3600090800,곡란_청도경계
DGB3600090900,곡란_청도경계(용성방향)
DGB3600091400,하양읍사무소 건너
DGB3600092100,대평그린빌A 앞
DGB3600092200,대평그린빌A 뒤
DGB3600092700,백천부영 초록마을정문
DGB3600093600,산전리마을회관
DGB3600094200,흥산2리새마을복지회관
DGB3600094400,신동아마트 건너
DGB3600094500,신동아파밀리에(육교)
DGB3600094800,흥산1리새마을회관 건너
DGB3600094900,흥산1리새마을회관
DGB3600095000,흥산리2
DGB3600095100,흥산리1
DGB3600095200,영남외국어대정문
DGB3600095400,중방e편한세상 건너
DGB3600095500,신월리
DGB3600095600,평산동(숲안마을)
DGB3600095700,경산과학고 건너
DGB3600095800,경산과학고 앞
DGB3600095900,관음휴게소
DGB3600096000,조곡종점
DGB3600096300,부림예식장
DGB3600096400,하양농협 강남지소 건너
DGB3600096800,환상3리(하양방향)
DGB3600097100,북1리 건너
DGB3600097900,현흥2리마을회관
DGB3600098100,문천2리
DGB3600098200,내리리
DGB3600098800,인터불고경산CC(경산방향)
DGB3600098900,대부잠수교
DGB3600099000,진량삼성슈퍼
DGB3600099100,용전리아래마을
DGB3600099200,대원리마을회관입구
DGB3600099300,대원리마을회관 건너
DGB3600099400,신대리부영아파트 건너(경산방향)
DGB3600099500,압량초등학교
DGB3600099600,신대근린공원 건너
DGB3600099700,신대근린공원 앞
DGB3600105300,대한금속 건너
DGB3600105400,대한금속
DGB3600105500,제일테크 건너
DGB3600105600,건화ENG
DGB3600105700,대은테크
DGB3600105900,한의대오성캠퍼스
DGB3600106100,압량성당 앞
DGB3600106200,영대천지문 앞
DGB3600106300,영남대서문 건너
DGB3600106400,영남대서문
DGB3600106500,내리리입구 건너
DGB3600106600,남산지(경산방향)
DGB3600106700,두리화섬 앞
DGB3600106800,두리화섬 건너
DGB3600106900,용천입구(영천방향)
DGB3600107200,내리리입구
DGB3600107300,초원장미삼거리(하양방향)
DGB3600107400,초원장미삼거리(초원방향)
DGB3600107600,중산하늘채퍼스트 동편
DGB3600108100,경남신성A106동뒤
DGB3600108300,소라아파트 앞
DGB3600108400,보광사
DGB3600108500,갓바위주차장삼거리
DGB3600108600,대종리(육동방향)
DGB3600108700,대종리(용성방향)
DGB3600108800,환상3리(경산방향)
DGB3600108900,솔매기(갓바위방향)
DGB3600109000,솔매기(경산방향)
DGB3600109100,삼북주공A동편
DGB3600109200,엠디엔
DGB3600109300,하양읍사무소
DGB3600109400,하양시외버스터미널
DGB3600109900,사동부영6차북편 건너
DGB3600110000,질고개삼거리(조곡방향)
DGB3600110100,질고개삼거리(남산방향)
DGB3600110200,송내지못밑(조곡방향)
DGB3600110300,송내지못밑(남산방향)
DGB3600110400,남신리1(남촌방향)
DGB3600110900,점촌네거리(한의대방향)
DGB3600111000,점촌네거리(경산방향)
DGB3600111100,인터불고경산CC(한의대방향)
DGB3600111300,임당역3번출구
DGB3600111400,임당역5번출구
DGB3600111600,우진아파트 앞
DGB3600111700,신대푸르지오아파트 건너
DGB3600111800,신대푸르지오아파트 앞
DGB3600111900,감못 건너
DGB3600112000,신대삼거리
DGB3600112100,(주)한성 앞
DGB3600112200,내리건너(신촌방향)
DGB3600112300,내리(가일방향)
DGB3600112400,신촌리마을회관 앞
DGB3600112500,대청환경 앞
DGB3600112600,가야리마을회관 건너
DGB3600112800,한의대오성캠퍼스 후문
DGB3600112900,"가야삼거리(진량, 자인방향)"
DGB3600113000,일언리(대경대방향)
DGB3600113400,중산삼거리(대구방향)
DGB3600113500,경1리
DGB3600113600,경1리 건너
DGB3600113700,구경리
DGB3600113800,구경리 건너
DGB3600113900,미산2리(용성방향)
DGB3600114000,미산2리(남산방향)
DGB3600114900,대원리(대원금속)
DGB3600115100,삼성현역사문화공원주차장
DGB3600115300,백천부영 초록마을정문 건너
DGB3600115400,백천월드메르디앙서문 건너
DGB3600115500,백천월드메르디앙 서문
DGB3600115700,하양시장
DGB3600115800,동서오거리(하양방향)
DGB3600116200,동서오거리(금호방향)
DGB3600116300,대조1리(경산방향)
DGB3600116400,대조2리(하양방향)
DGB3600116500,대조2리(경산방향)
DGB3600116600,하양청구2차정문
